# Time indexes blocks. 
# Columns Headings: 
# x	var0 u	var0 q	var0 sigma	var1 u	var1 q	var1 sigma	var2 u	var2 q	var2 sigma
# t = 0
0.37	1.84985	1.99431	1.47779	1.85236	1.997	5.42592	1.85236	1.997	2.46633
0.373	1.85578	1.96059	1.46459	1.8583	1.96325	5.37745	1.8583	1.96325	2.4443
0.376	1.86161	1.92673	1.45087	1.86414	1.92934	5.32708	1.86414	1.92934	2.4214
0.379	1.86734	1.89273	1.43664	1.86988	1.89529	5.27482	1.86988	1.89529	2.39764
0.382	1.87297	1.85858	1.42189	1.87551	1.8611	5.22066	1.87551	1.8611	2.37303
0.385	1.87849	1.8243	1.40662	1.88104	1.82677	5.16462	1.88104	1.82677	2.34755
0.388	1.88391	1.7899	1.39085	1.88647	1.79232	5.1067	1.88647	1.79232	2.32123
0.391	1.88923	1.75537	1.37457	1.8918	1.75775	5.04691	1.8918	1.75775	2.29405
0.394	1.89445	1.72073	1.35778	1.89702	1.72306	4.98527	1.89702	1.72306	2.26603
0.397	1.89956	1.68597	1.34048	1.90213	1.68825	4.92177	1.90213	1.68825	2.23717
0.4	1.90456	1.65111	1.32268	1.90715	1.65335	4.85642	1.90715	1.65335	2.20747
0.403	1.90946	1.61615	1.30439	1.91205	1.61834	4.78925	1.91205	1.61834	2.17693
0.406	1.91426	1.5811	1.2856	1.91686	1.58324	4.72025	1.91686	1.58324	2.14557
0.409	1.91895	1.54596	1.26631	1.92155	1.54805	4.64944	1.92155	1.54805	2.11338
0.412	1.92353	1.51073	1.24653	1.92614	1.51277	4.57682	1.92614	1.51277	2.08037
0.415	1.92801	1.47543	1.22627	1.93063	1.47742	4.50242	1.93063	1.47742	2.04656
0.418	1.93239	1.44005	1.20552	1.93501	1.442	4.42624	1.93501	1.442	2.01193
0.421	1.93665	1.40461	1.18429	1.93928	1.40651	4.3483	1.93928	1.40651	1.9765
0.424	1.94081	1.36911	1.16259	1.94345	1.37097	4.2686	1.94345	1.37097	1.94027
0.427	1.94487	1.33356	1.14041	1.94751	1.33536	4.18717	1.94751	1.33536	1.90326
0.43	1.94882	1.29796	1.11776	1.95146	1.29971	4.10401	1.95146	1.29971	1.86546
0.433	1.95266	1.26231	1.09465	1.95531	1.26402	4.01915	1.95531	1.26402	1.82688
0.436	1.95639	1.22663	1.07107	1.95904	1.22828	3.93259	1.95904	1.22828	1.78754
0.439	1.96002	1.19091	1.04704	1.96268	1.19252	3.84435	1.96268	1.19252	1.74743
0.442	1.96354	1.15517	1.02255	1.9662	1.15673	3.75445	1.9662	1.15673	1.70657
0.445	1.96695	1.1194	0.997621	1.96962	1.12092	3.66291	1.96962	1.12092	1.66496
0.448	1.97025	1.08362	0.972245	1.97292	1.08509	3.56973	1.97292	1.08509	1.62261
0.451	1.97345	1.04783	0.94643	1.97613	1.04925	3.47495	1.97613	1.04925	1.57952
0.454	1.97654	1.01204	0.920181	1.97922	1.01341	3.37857	1.97922	1.01341	1.53572
0.457	1.97952	0.976248	0.893503	1.98221	0.977568	3.28062	1.98221	0.977568	1.49119
0.46	1.9824	0.940463	0.866401	1.98509	0.941734	3.18112	1.98509	0.941734	1.44596
0.463	1.98516	0.90469	0.838882	1.98786	0.905913	3.08007	1.98786	0.905913	1.40003
0.466	1.98782	0.868936	0.810949	1.99052	0.870111	2.97751	1.99052	0.870111	1.35341
0.469	1.99038	0.833205	0.782608	1.99308	0.834331	2.87346	1.99308	0.834331	1.30612
0.472	1.99282	0.797503	0.753866	1.99553	0.798581	2.76792	1.99553	0.798581	1.25815
0.475	1.99516	0.761835	0.724727	1.99787	0.762865	2.66094	1.99787	0.762865	1.20952
0.478	1.99739	0.726207	0.695198	2.0001	0.727189	2.55252	2.0001	0.727189	1.16023
0.481	1.99952	0.690625	0.665284	2.00223	0.691558	2.44268	2.00223	0.691558	1.11031
0.484	2.00154	0.655093	0.634992	2.00425	0.655978	2.33146	2.00425	0.655978	1.05976
0.487	2.00345	0.619618	0.604328	2.00617	0.620455	2.21888	2.00617	0.620455	1.00858
0.49	2.00526	0.584204	0.573298	2.00798	0.584993	2.10494	2.00798	0.584993	0.956792
0.493	2.00696	0.548856	0.541908	2.00968	0.549598	1.98969	2.00968	0.549598	0.904405
0.496	2.00855	0.513581	0.510165	2.01127	0.514275	1.87314	2.01127	0.514275	0.851429
0.499	2.01004	0.478383	0.478076	2.01276	0.479029	1.75532	2.01276	0.479029	0.797874
0.502	2.01142	0.443268	0.445646	2.01415	0.443867	1.63625	2.01415	0.443867	0.743751
0.505	2.0127	0.408241	0.412884	2.01543	0.408792	1.51596	2.01543	0.408792	0.689073
0.508	2.01387	0.373307	0.379795	2.0166	0.37381	1.39447	2.0166	0.37381	0.633851
0.511	2.01494	0.338471	0.346388	2.01767	0.338927	1.27181	2.01767	0.338927	0.578096
0.514	2.0159	0.303738	0.312668	2.01863	0.304148	1.148	2.01863	0.304148	0.52182
0.517	2.01676	0.269115	0.278643	2.0195	0.269477	1.02308	2.0195	0.269477	0.465035
0.52	2.01751	0.234604	0.244321	2.02025	0.23492	0.897058	2.02025	0.23492	0.407753
0.523	2.01817	0.200213	0.209708	2.0209	0.200482	0.769971	2.0209	0.200482	0.349987
0.526	2.01872	0.165945	0.174812	2.02145	0.166168	0.641846	2.02145	0.166168	0.291748
0.529	2.01916	0.131806	0.13964	2.0219	0.131982	0.51271	2.0219	0.131982	0.23305
0.532	2.01951	0.0978	0.104201	2.02225	0.0979308	0.38259	2.02225	0.0979308	0.173904
0.535	2.01975	0.0639329	0.068502	2.02249	0.0640179	0.251515	2.02249	0.0640179	0.114325
0.538	2.01989	0.0302093	0.0325502	2.02263	0.0302486	0.119513	2.02263	0.0302486	0.0543239
0.541	2.01993	-0.0033661	-0.00364622	2.02267	-0.00337223	-0.0133874	2.02267	-0.00337223	-0.00608522
0.544	2.01987	-0.0367884	-0.0400793	2.02261	-0.0368398	-0.147157	2.02261	-0.0368398	-0.0668894
0.547	2.01971	-0.0700529	-0.0767411	2.02245	-0.0701493	-0.281766	2.02245	-0.0701493	-0.128075
0.55	2.01945	-0.103155	-0.113624	2.02219	-0.103296	-0.417185	2.02219	-0.103296	-0.18963
0.553	2.01909	-0.13609	-0.150719	2.02183	-0.136275	-0.553385	2.02183	-0.136275	-0.251539
0.556	2.01863	-0.168853	-0.188018	2.02137	-0.169083	-0.690335	2.02137	-0.169083	-0.313789
0.559	2.01808	-0.201439	-0.225514	2.02082	-0.201713	-0.828006	2.02082	-0.201713	-0.376366
0.562	2.01743	-0.233845	-0.263197	2.02016	-0.234163	-0.966366	2.02016	-0.234163	-0.439257
0.565	2.01668	-0.266065	-0.30106	2.01941	-0.266426	-1.10539	2.01941	-0.266426	-0.502448
